A1SSP.sol 47
0 -2 0.0
0 -2 0.0
0 30 0.0
0 14 0.0
0 2 0.0
0 1 0.0
0 1 0.0
0 14 0.0
0 30 0.0
0 2 0.0
1 -2 0.0
1 0 0.0
1 0 0.0
1 -2 0.0
1 25 0.0
1 12 0.0
1 2 0.0
1 25 0.0
1 2 0.0
1 12 0.0
2 -2 0.0
2 0 0.0
2 1 0.0
2 1 0.0
2 0 0.0
2 -2 0.0
3 18 0.0
3 8 0.0
3 5 0.0
3 4 0.0
3 4 0.0
3 8 0.0
3 18 0.0
3 5 0.0
4 3 0.0
4 3 0.0
4 35 0.0
4 27 0.0
4 5 0.0
4 27 0.0
4 35 0.0
4 5 0.0
5 3 0.0
5 4 0.0
5 4 0.0
5 3 0.0
6 -2 0.0
6 -2 0.0
6 23 0.0
6 10 0.0
6 9 0.0
6 8 0.0
6 7 0.0
6 7 0.0
6 8 0.0
6 9 0.0
6 23 0.0
6 10 0.0
7 6 0.0
7 6 0.0
7 33 0.0
7 15 0.0
7 12 0.0
7 10 0.0
7 9 0.0
7 8 0.0
7 8 0.0
7 9 0.0
7 15 0.0
7 33 0.0
7 12 0.0
7 10 0.0
8 3 0.0
8 6 0.0
8 7 0.0
8 7 0.0
8 6 0.0
8 3 0.0
8 26 0.0
8 10 0.0
8 9 0.0
8 26 0.0
8 10 0.0
8 9 0.0
9 6 0.0
9 7 0.0
9 8 0.0
9 8 0.0
9 7 0.0
9 6 0.0
9 36 0.0
9 29 0.0
9 19 0.0
9 10 0.0
9 19 0.0
9 29 0.0
9 10 0.0
9 36 0.0
10 6 0.0
10 7 0.0
10 8 0.0
10 9 0.0
10 9 0.0
10 8 0.0
10 7 0.0
10 6 0.0
11 36 0.0
11 33 0.0
11 29 0.0
11 13 0.0
11 12 0.0
11 12 0.0
11 36 0.0
11 29 0.0
11 13 0.0
11 33 0.0
12 7 0.0
12 11 0.0
12 1 0.0
12 11 0.0
12 7 0.0
12 1 0.0
12 45 0.0
12 40 0.0
12 13 0.0
12 13 0.0
12 40 0.0
12 45 0.0
13 11 0.0
13 12 0.0
13 12 0.0
13 11 0.0
14 0 0.0
14 0 0.0
14 37 0.0
14 16 0.0
14 15 0.0
14 15 0.0
14 37 0.0
14 16 0.0
15 7 0.0
15 14 0.0
15 14 0.0
15 7 0.0
15 43 0.0
15 32 0.0
15 16 0.0
15 43 0.0
15 32 0.0
15 16 0.0
16 14 0.0
16 15 0.0
16 15 0.0
16 14 0.0
17 38 0.0
17 21 0.0
17 20 0.0
17 19 0.0
17 18 0.0
17 18 0.0
17 19 0.0
17 20 0.0
17 38 0.0
17 21 0.0
18 3 0.0
18 17 0.0
18 17 0.0
18 3 0.0
18 21 0.0
18 20 0.0
18 19 0.0
18 19 0.0
18 20 0.0
18 21 0.0
19 9 0.0
19 17 0.0
19 18 0.0
19 18 0.0
19 17 0.0
19 9 0.0
19 21 0.0
19 20 0.0
19 20 0.0
19 21 0.0
20 17 0.0
20 18 0.0
20 19 0.0
20 19 0.0
20 18 0.0
20 17 0.0
20 25 0.0
20 21 0.0
20 25 0.0
20 21 0.0
21 17 0.0
21 18 0.0
21 19 0.0
21 20 0.0
21 20 0.0
21 19 0.0
21 18 0.0
21 17 0.0
22 46 0.0
22 45 0.0
22 28 0.0
22 24 0.0
22 23 0.0
22 28 0.0
22 24 0.0
22 46 0.0
22 45 0.0
22 23 0.0
23 6 0.0
23 22 0.0
23 22 0.0
23 6 0.0
23 46 0.0
23 45 0.0
23 24 0.0
23 24 0.0
23 46 0.0
23 45 0.0
24 22 0.0
24 23 0.0
24 23 0.0
24 22 0.0
24 46 0.0
24 45 0.0
24 46 0.0
24 45 0.0
25 1 0.0
25 20 0.0
25 20 0.0
25 1 0.0
25 41 0.0
25 31 0.0
25 30 0.0
25 29 0.0
25 28 0.0
25 27 0.0
25 26 0.0
25 26 0.0
25 27 0.0
25 28 0.0
25 29 0.0
25 30 0.0
25 41 0.0
25 31 0.0
26 8 0.0
26 25 0.0
26 25 0.0
26 8 0.0
26 44 0.0
26 35 0.0
26 31 0.0
26 30 0.0
26 29 0.0
26 28 0.0
26 27 0.0
26 27 0.0
26 28 0.0
26 29 0.0
26 30 0.0
26 44 0.0
26 35 0.0
26 31 0.0
27 4 0.0
27 25 0.0
27 26 0.0
27 26 0.0
27 25 0.0
27 4 0.0
27 41 0.0
27 38 0.0
27 31 0.0
27 30 0.0
27 29 0.0
27 28 0.0
27 28 0.0
27 29 0.0
27 30 0.0
27 41 0.0
27 38 0.0
27 31 0.0
28 22 0.0
28 25 0.0
28 26 0.0
28 27 0.0
28 27 0.0
28 26 0.0
28 25 0.0
28 22 0.0
28 42 0.0
28 31 0.0
28 30 0.0
28 29 0.0
28 29 0.0
28 30 0.0
28 42 0.0
28 31 0.0
29 9 0.0
29 11 0.0
29 25 0.0
29 26 0.0
29 27 0.0
29 28 0.0
29 28 0.0
29 27 0.0
29 26 0.0
29 25 0.0
29 11 0.0
29 9 0.0
29 44 0.0
29 31 0.0
29 30 0.0
29 30 0.0
29 44 0.0
29 31 0.0
30 0 0.0
30 25 0.0
30 26 0.0
30 27 0.0
30 28 0.0
30 29 0.0
30 29 0.0
30 28 0.0
30 27 0.0
30 26 0.0
30 25 0.0
30 0 0.0
30 42 0.0
30 31 0.0
30 42 0.0
30 31 0.0
31 25 0.0
31 26 0.0
31 27 0.0
31 28 0.0
31 29 0.0
31 30 0.0
31 30 0.0
31 29 0.0
31 28 0.0
31 27 0.0
31 26 0.0
31 25 0.0
32 15 0.0
32 15 0.0
32 43 0.0
32 35 0.0
32 34 0.0
32 33 0.0
32 33 0.0
32 43 0.0
32 34 0.0
32 35 0.0
33 7 0.0
33 32 0.0
33 11 0.0
33 32 0.0
33 11 0.0
33 7 0.0
33 46 0.0
33 34 0.0
33 34 0.0
33 46 0.0
34 32 0.0
34 33 0.0
34 33 0.0
34 32 0.0
35 4 0.0
35 26 0.0
35 32 0.0
35 32 0.0
35 26 0.0
35 4 0.0
35 44 0.0
35 39 0.0
35 38 0.0
35 37 0.0
35 36 0.0
35 36 0.0
35 37 0.0
35 38 0.0
35 44 0.0
35 39 0.0
36 11 0.0
36 35 0.0
36 9 0.0
36 35 0.0
36 11 0.0
36 9 0.0
36 44 0.0
36 41 0.0
36 39 0.0
36 38 0.0
36 37 0.0
36 37 0.0
36 38 0.0
36 41 0.0
36 44 0.0
36 39 0.0
37 14 0.0
37 35 0.0
37 36 0.0
37 36 0.0
37 35 0.0
37 14 0.0
37 42 0.0
37 39 0.0
37 38 0.0
37 38 0.0
37 42 0.0
37 39 0.0
38 17 0.0
38 27 0.0
38 35 0.0
38 36 0.0
38 37 0.0
38 37 0.0
38 36 0.0
38 35 0.0
38 27 0.0
38 17 0.0
38 44 0.0
38 39 0.0
38 44 0.0
38 39 0.0
39 35 0.0
39 36 0.0
39 37 0.0
39 38 0.0
39 38 0.0
39 37 0.0
39 36 0.0
39 35 0.0
40 -2 0.0
40 12 0.0
40 12 0.0
40 -2 0.0
41 25 0.0
41 27 0.0
41 36 0.0
41 36 0.0
41 27 0.0
41 25 0.0
42 28 0.0
42 30 0.0
42 37 0.0
42 37 0.0
42 30 0.0
42 28 0.0
43 15 0.0
43 32 0.0
43 32 0.0
43 15 0.0
44 26 0.0
44 29 0.0
44 35 0.0
44 36 0.0
44 38 0.0
44 38 0.0
44 36 0.0
44 35 0.0
44 29 0.0
44 26 0.0
45 12 0.0
45 24 0.0
45 22 0.0
45 23 0.0
45 24 0.0
45 23 0.0
45 22 0.0
45 12 0.0
45 46 0.0
45 46 769230.0
46 33 0.0
46 24 0.0
46 22 0.0
46 23 0.0
46 45 0.0
46 45 0.0
46 33 0.0
46 24 0.0
46 23 0.0
46 22 0.0
