instance	nb vert	nb edge	timeSSP	SSPCost	SSPDijCount	timeCS	CSCost	CSDijCount

A1	49	520	1	1.3999986E9	2	0	1.3999986E9	13
A2	49	520	0	3.8481989825E10	44	9	3.8481989825E10	279
A3	49	520	1	1.10803271214E11	26	6	1.10803271214E11	214
A4	49	520	2	1.56789569406E11	26	6	1.56789569406E11	214
A5	49	520	1	1.64661111914E11	28	5	1.64661111914E11	201
A6	49	520	2	4.30427916578E11	23	4	4.30427916578E11	144
A7	49	520	1	4.26441403222E11	23	3	4.26441403222E11	142
A8	49	520	1	5.09793469861E11	22	5	5.09793469861E11	138
A9	49	520	2	2.68388402126E11	28	5	2.68388402126E11	201
A10	49	520	1	3.09955345884E11	27	6	3.09955345884E11	217
A11	49	520	1	4.0323221232E11	22	3	4.0323221232E11	152
A12	49	520	1	2.09872787154E11	15	3	2.09872787154E11	111
A13	49	520	1	1.1805477067E11	24	5	1.1805477067E11	165
A14	49	520	1	1.67052688488E11	36	5	1.67052688488E11	203
A15	49	520	2	1.75177496328E11	39	5	1.75177496328E11	214
A16	49	520	1	3.57754256381E11	27	4	3.57754256381E11	155
A17	49	520	2	2.81924142006E11	30	5	2.81924142006E11	206
A18	49	520	1	5.8962995982E10	13	2	5.8962995982E10	82
A19	49	520	1	2.85381545026E11	30	5	2.85381545026E11	206
A20	49	520	2	1.48493862907E11	37	6	1.48493862907E11	246
A21	49	520	2	1.40049729897E11	37	5	1.40049729897E11	252
A22	49	520	2	1.40672231305E11	40	5	1.40672231305E11	247
B1	4	6	0	1.859337709E9	3	0	1.859337709E9	7
B2	21	322	0	5.89515176E8	7	0	5.89515176E8	34
B3	41	657	1	3.920976261E9	17	4	3.920976261E9	116
B4	81	5798	6	7.59473859E8	13	45	7.59473859E8	156
X1	257	65025	364	7.98017639E8	50	6781	7.98017639E8	956
X2	401	133322	273	6.0615313E7	8	2098	6.0615313E7	197
X3	801	160803	434	2.3434351E8	9	3509	2.3434351E8	267
Z1	1001	4000	214	1.2736645399E10	12	723	1.2736645399E10	632
Z2	1001	128256	1145	1.834984597E9	49	41496	1.834984597E9	3425
Z3	1001	900000	76542	2.956122454E9	786	447375	2.956122454E9	4720
